model,method,probability_source,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier,log_loss,ece,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high,brier_ci_low,brier_ci_high
logistic_regression,uncalibrated,raw_subject_mean_probability,0.7058823529411765,0.6634615384615385,0.8529411764705882,0.7435897435897436,0.7945205479452054,0.8055555555555556,0.1760657242535956,0.5097279778003817,0.17007842929430292,0.5686274509803921,0.8235294117647058,0.49886363636363634,0.8158739837398373,0.651189024390244,0.9250053418803418,0.10896933784642894,0.2521167246571942
logistic_regression,sigmoid,sigmoid_calibrated_subject_probability,0.8235294117647058,0.6826923076923077,0.8409090909090909,0.9487179487179487,0.891566265060241,0.8055555555555556,0.13662991107079175,0.4233968710802703,0.12452627147985672,0.7058823529411765,0.9215686274509803,0.532051282051282,0.8333603896103894,0.651189024390244,0.9250053418803418,0.07918514065601769,0.20333906015199665
logistic_regression,isotonic,isotonic_calibrated_subject_probability,0.8235294117647058,0.6826923076923077,0.8409090909090909,0.9487179487179487,0.891566265060241,0.8108974358974359,0.1451146799585802,0.4285129307788692,0.08977257151176815,0.7058823529411765,0.9215686274509803,0.532051282051282,0.8333603896103894,0.6695121951219513,0.9227360139860139,0.08613494723429539,0.20999925684865517
support_vector_machine,uncalibrated,raw_subject_mean_probability,0.803921568627451,0.6987179487179487,0.8536585365853658,0.8974358974358975,0.875,0.811965811965812,0.1421085805156079,0.4536121408706171,0.11197904484974198,0.6862745098039216,0.9019607843137255,0.5390243902439025,0.8494054878048778,0.6581140350877193,0.9350679413179414,0.08022428878741411,0.21644148567430674
support_vector_machine,sigmoid,sigmoid_calibrated_subject_probability,0.7647058823529411,0.5576923076923077,0.7872340425531915,0.9487179487179487,0.8604651162790697,0.811965811965812,0.1400321011116428,0.4330954264750623,0.07855846782621671,0.6470588235294118,0.8823529411764706,0.4605263157894737,0.6772727272727272,0.6581140350877193,0.9350679413179414,0.08750805946348349,0.1994367466500572
support_vector_machine,isotonic,isotonic_calibrated_subject_probability,0.7843137254901961,0.5705128205128205,0.7916666666666666,0.9743589743589743,0.8735632183908046,0.7884615384615384,0.1513110237190705,0.4544419672937812,0.08335207881700167,0.6666666666666666,0.8828431372548993,0.47619047619047616,0.6878987171365214,0.6597197240794802,0.901712962962963,0.08077623657946077,0.22948231064119892
knn,uncalibrated,raw_subject_mean_probability,0.7843137254901961,0.657051282051282,0.8333333333333334,0.8974358974358975,0.8641975308641975,0.811965811965812,0.1332049853811397,0.6054617143900487,0.05863211371759554,0.6666666666666666,0.9019607843137255,0.5079365079365079,0.8134146341463415,0.6590610047846891,0.938034188034188,0.08034026477433431,0.1932854369408475
knn,sigmoid,sigmoid_calibrated_subject_probability,0.803921568627451,0.5833333333333334,0.7959183673469388,1.0,0.8863636363636364,0.811965811965812,0.13658107708256745,0.5292809639337968,0.06233776487829693,0.6862745098039216,0.9019607843137255,0.5,0.7,0.6590610047846891,0.938034188034188,0.08216273822984115,0.1973161939114896
knn,isotonic,isotonic_calibrated_subject_probability,0.803921568627451,0.5833333333333334,0.7959183673469388,1.0,0.8863636363636364,0.7820512820512822,0.14638511089765716,0.6454440943560715,0.06990308822436381,0.6862745098039216,0.9019607843137255,0.5,0.7,0.6312741312741313,0.9042605433130699,0.07973562763546724,0.2211531224127334
random_forest,uncalibrated,raw_subject_mean_probability,0.8235294117647058,0.7115384615384616,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8461538461538461,0.12463378488874327,0.39690569905277634,0.13992223163272965,0.7058823529411765,0.9215686274509803,0.5508720930232558,0.863373156551333,0.7070097695097695,0.9585365853658536,0.07706879001014352,0.17962041629506348
